Merchant ID,Merchant Name,Processor,Acquirer,Settlement ID,Settled Date,Fund Transfer ID,Fund Transfer Reference,Fund Transfer Date,Cut-Off Date,Settlement Period Start,Settlement Period End,Debit Count,Credit Count,Dispute Debit Count,Dispute Credit Count,Transaction Currency,Debit Amount,Credit Amount,Dispute Debit Amount,Dispute Credit Amount,Transaction Corrections,Gross Transaction Amount,Settlement FX Rate,Settlement Currency,Gross Settlement Amount,Fees,Commission,Held retention,Released retention,Settlement Corrections,Incoming Balance,Outgoing Balance,Net Settlement Amount
1604896139,Study Mode,Ebanx Boleto,Digital River World Payments,1141039926,2015-06-12,,,2015-06-12,2015-06-11,2015-06-11,2015-06-11,0,0,0,0,BRL,0.00,0.00,0.00,0.00,0.00,0.00,0,USD,0.00,3233.00,0.00,0.00,0.00,0.00,0.00,-3233.00,0.00
1604896139,Study Mode,Ebanx Boleto,Digital River World Payments,1141039927,2015-06-12,,,2015-06-12,2015-05-15,2015-05-15,2015-05-15,271,0,0,0,BRL,13522.90,0.00,0.00,0.00,0.00,13522.90,3.20900318,USD,4214.05,0.00,0.00,0.00,0.00,0.00,-3233.00,981.05,0.00
1604896139,Study Mode,Ebanx Boleto,Digital River World Payments,1141039933,2015-06-12,,,2015-06-12,2015-05-20,2015-05-20,2015-05-20,288,0,0,0,BRL,14371.20,0.00,0.00,0.00,0.00,14371.20,3.21727921,USD,4466.88,0.00,0.00,0.00,0.00,0.00,981.05,5447.93,0.00
1604896139,Study Mode,Ebanx Credit Card,Digital River World Payments,1141039807,2015-06-11,,,2015-06-11,2015-06-10,2015-06-10,2015-06-10,0,0,0,0,BRL,0.00,0.00,0.00,0.00,0.00,0.00,0,USD,0.00,12146.05,0.00,0.00,0.00,0.00,0.00,-12146.05,0.00
1604896139,Study Mode,Ebanx Credit Card,Digital River World Payments,1141039808,2015-06-11,,,2015-06-11,2015-05-20,2015-05-20,2015-05-20,1325,1,0,0,BRL,27304.50,-14.90,0.00,0.00,0.00,27289.60,3.21738479,USD,8481.92,0.00,509.19,0.00,0.00,0.00,-12146.05,-4173.32,0.00
1604896139,Study Mode,Ebanx Credit Card,Digital River World Payments,1141039809,2015-06-11,,,2015-06-11,2015-05-15,2015-05-15,2015-05-15,924,2,0,0,BRL,19614.75,-15.45,0.00,0.00,0.00,19599.30,3.20992684,USD,6105.84,0.00,366.64,0.00,0.00,0.00,-4173.32,1565.88,0.00
1604896139,Study Mode,Ebanx Credit Card,Digital River World Payments,1141039810,2015-06-11,,,2015-06-11,2015-04-30,2015-04-30,2015-04-30,0,0,1,0,BRL,0.00,0.00,-49.90,0.00,0.00,-49.90,3.18646228,USD,-15.66,0.00,0.00,0.00,0.00,0.00,1565.88,1550.22,0.00
